ID,Created,Name,Description,Playlist URL
c898d590c85d493c92ecc2d59758ace3,2026-04-07T12:08:41Z,Cymru am byth!,Tracks that could remind Gav of the homeland,https://open.spotify.com/playlist/7DIzH21rlpy0miiwGqnUzN
325fcc7fcc184fd89c0bbd6875fbc8d1,2026-04-07T12:08:50Z,That's not very progressive of you,"Tracks with a duration of less than and including 120 seconds.

One for Joe.",https://open.spotify.com/playlist/2vthW0pfrfzvsBcJsYTww6
66b843860ed94fc398206cfdebde3066,2026-04-07T12:18:11Z,The New National Anthem,Sex Pistols' God Save The Queen and Radiohead's The National Anthem are offences punishable by the Naughty Step.,https://open.spotify.com/playlist/6WbdnFrKMjMKCceLexiD8g
5986ef047b114b14b33a0a7cabc8f3ed,2026-04-07T12:19:41Z,Express Yourself,A track to reintroduce yourself.,https://open.spotify.com/playlist/44vWgyXkPngeEhrEGwon2f
8c562d4609184929917b988c8a94277c,2026-04-07T12:20:27Z,Voltarol Max Strength Gel,Tracks about growing old.,https://open.spotify.com/playlist/2B6G8nQL81Is29wUizUNNO
f87974c8be884d278c32c7ef5969cb95,2026-04-07T12:21:29Z,"Fuck it, we'll do it live!",Live recordings.,https://open.spotify.com/playlist/1ehu5pbQj1baYszFFuW3U0
c75f032af3474f5b935767a3d0e27feb,2026-04-07T12:23:19Z,An impressive set of pipes,Tracks with banging vocals.,https://open.spotify.com/playlist/43OdYcWiqTpOZu8wj3exLU
178403c33cd9416cb844b5b49e9bcbe9,2026-04-07T12:25:28Z,Pardon?,Tracks in a language you don't understand,https://open.spotify.com/playlist/474P3i8zUKfKOGGlk8uQ0k
01210a35cde946dbb19d24854ddd625b,2026-04-07T12:29:18Z,Eric Bristow vs John Cena,Your dream darts/wrestling walk on music.,https://open.spotify.com/playlist/1nIx6W3kyZ0AnojiNSnSLt
ad4edf83998943968aa608ab6fde68c2,2026-04-07T12:34:23Z,The Doctor will see you now,Tracks or artists named after diseases or conditions.,https://open.spotify.com/playlist/5H7hZv9s2anAlfWQ9uT8Cf
8ccd45fd2eb243949abcacfa0a5fe5ed,2026-05-10T18:58:24Z,BEE EMERGENCY: Baba Don't Rile Bee needs a first dance song,"Congratulations to Baba Don't Rile Bee & co!

What should they have their first dance to?",https://open.spotify.com/playlist/31f2a1lRZvJB2qrRlXCprQ
